,0
0,71.95604395288014
1,71.96238036846685
2,71.96871429054708
3,71.97504571912081
4,71.98137465418806
5,71.9877010957488
6,71.99402504380305
7,72.00034649835081
8,72.00666545939208
9,72.01298192692684
10,72.01929590095511
11,72.0256073814769
12,72.03191636849219
13,72.03822286200098
14,72.04452686200328
15,72.05082836849908
16,72.05712738148839
17,72.0634239009712
18,72.06971792694753
19,72.07600945941735
20,72.08229849838068
21,72.08858504383753
22,72.09486909578787
23,72.10115065423172
24,72.10742971916908
25,72.11370629059994
26,72.11998036852431
27,72.12625195294218
28,72.13252104385357
29,72.13878764125845
30,72.14505174515685
31,72.15131335554874
32,72.15757247243414
33,72.16382909581306
34,72.17008322568547
35,72.17633486205139
36,72.18258400491082
37,72.18883065426375
38,72.19507481011019
39,72.20131647245013
40,72.20755564128359
41,72.21379231661055
42,72.22002649843101
43,72.22625818674497
44,72.23248738155245
45,72.23871408285343
46,72.24493829064792
47,72.25116000493591
48,72.2573792257174
49,72.2635959529924
50,72.26981018676092
51,72.27602192702294
52,72.28223117377846
53,72.28843792702749
54,72.29464218677002
55,72.30084395300605
56,72.3070432257356
57,72.31324000495866
58,72.3194342906752
59,72.32562608288528
60,72.33181538158884
61,72.33800218678591
62,72.34418649847649
63,72.35036831666058
64,72.35654764133817
65,72.36272447250927
66,72.36889881017387
67,72.37507065433198
68,72.3812400049836
69,72.38740686212873
70,72.39357122576735
71,72.39973309589948
72,72.40589247252512
73,72.41204935564427
74,72.41820374525692
75,72.42435564136308
76,72.43050504396274
77,72.4366519530559
78,72.44279636864258
79,72.44893829072277
80,72.45507771929644
81,72.46121465436363
82,72.46734909592433
83,72.47348104397854
84,72.47961049852624
85,72.48573745956746
86,72.49186192710218
87,72.49798390113041
88,72.50410338165214
89,72.51022036866738
90,72.51633486217612
91,72.52244686217838
92,72.52855636867413
93,72.53466338166339
94,72.54076790114617
95,72.54686992712244
96,72.55296945959222
97,72.55906649855551
98,72.5651610440123
99,72.57125309596259
100,72.5773426544064
101,72.58342971934371
102,72.58951429077452
103,72.59559636869885
104,72.60167595311667
105,72.607753044028
106,72.61382764143285
107,72.61989974533118
108,72.62596935572304
109,72.63203647260839
110,72.63810109598725
111,72.64416322585963
112,72.6502228622255
113,72.65628000508488
114,72.66233465443777
115,72.66838681028416
116,72.67443647262405
117,72.68048364145746
118,72.68652831678436
119,72.69257049860478
120,72.6986101869187
121,72.70464738172613
122,72.71068208302707
123,72.7167142908215
124,72.72274400510945
125,72.7287712258909
126,72.73479595316586
127,72.74081818693432
128,72.74683792719628
129,72.75285517395176
130,72.75886992720073
131,72.76488218694323
132,72.77089195317922
133,72.7768992259087
134,72.78290400513171
135,72.78890629084823
136,72.79490608305824
137,72.80090338176176
138,72.80689818695879
139,72.81289049864932
140,72.81888031683336
141,72.8248676415109
142,72.83085247268195
143,72.83683481034652
144,72.84281465450458
145,72.84879200515614
146,72.85476686230122
147,72.8607392259398
148,72.86670909607189
149,72.87267647269748
150,72.87864135581657
151,72.88460374542917
152,72.89056364153528
153,72.8965210441349
154,72.90247595322802
155,72.90842836881464
156,72.91437829089477
157,72.92032571946842
158,72.92627065453556
159,72.9322130960962
160,72.93815304415037
161,72.94409049869803
162,72.9500254597392
163,72.95595792727387
164,72.96188790130205
165,72.96781538182374
166,72.97374036883893
167,72.97966286234762
168,72.98558286234983
169,72.99150036884554
170,72.99741538183476
171,73.00332790131748
172,73.0092379272937
173,73.01514545976343
174,73.02105049872668
175,73.02695304418341
176,73.03285309613366
177,73.03875065457743
178,73.04464571951469
179,73.05053829094545
180,73.05642836886973
181,73.06231595328751
182,73.06820104419879
183,73.07408364160358
184,73.07996374550189
185,73.08584135589369
186,73.091716472779
187,73.0975890961578
188,73.10345922603013
189,73.10932686239596
190,73.1151920052553
191,73.12105465460813
192,73.12691481045447
193,73.13277247279433
194,73.13862764162768
195,73.14448031695454
196,73.1503304987749
197,73.15617818708878
198,73.16202338189616
199,73.16786608319704
200,73.17370629099143
201,73.17954400527934
202,73.18537922606073
203,73.19121195333565
204,73.19704218710406
205,73.20286992736598
206,73.20869517412142
207,73.21451792737034
208,73.22033818711279
209,73.22615595334872
210,73.23197122607817
211,73.23778400530114
212,73.24359429101759
213,73.24940208322757
214,73.25520738193103
215,73.26101018712801
216,73.2668104988185
217,73.2726083170025
218,73.27840364167999
219,73.284196472851
220,73.2899868105155
221,73.29577465467351
222,73.30156000532503
223,73.30734286247007
224,73.31312322610859
225,73.31890109624064
226,73.32467647286617
227,73.33044935598522
228,73.33621974559779
229,73.34198764170384
230,73.34775304430342
231,73.35351595339648
232,73.35927636898306
233,73.36503429106315
234,73.37078971963675
235,73.37654265470384
236,73.38229309626445
237,73.38804104431856
238,73.39378649886616
239,73.39952945990728
240,73.4052699274419
241,73.41100790147004
242,73.41674338199168
243,73.42247636900683
244,73.42820686251548
245,73.43393486251763
246,73.4396603690133
247,73.44538338200246
248,73.45110390148514
249,73.45682192746132
250,73.462537459931
251,73.4682504988942
252,73.47396104435089
253,73.4796690963011
254,73.4853746547448
255,73.49107771968201
256,73.49677829111273
257,73.50247636903696
258,73.50817195345469
259,73.51386504436593
260,73.51955564177068
261,73.52524374566893
262,73.53092935606068
263,73.53661247294595
264,73.54229309632471
265,73.54797122619698
266,73.55364686256276
267,73.55932000542205
268,73.56499065477485
269,73.57065881062114
270,73.57632447296093
271,73.58198764179424
272,73.58764831712107
273,73.59330649894139
274,73.59896218725521
275,73.60461538206255
276,73.61026608336338
277,73.61591429115772
278,73.62156000544557
279,73.62720322622692
