,x_dot,body_slip,steered_angle,yaw_rate,ride_height,x_double_dot,y_double_dot,yaw_acceleration,roll,pitch
0,5.0,-0.18,-0.2,0,0.09528459810980776,-3.7696222341055,-15.130436124122806,0.42241656761726654,0.03864915183858902,0.033344844181498016
1,5.0,-0.18,-0.18000000000000002,0,0.09485492970619408,-3.6847534012259473,-15.174809258449498,0.6488747335420239,0.037779724065166116,0.03344204905058845
2,5.0,-0.18,-0.16,0,0.0944152999781,-3.597916990615572,-15.21859107961603,0.8744172111157672,0.03689009045105681,0.03353794136027675
3,5.0,-0.18,-0.14,0,0.09396522900198995,-3.5090182069624807,-15.26158159623647,1.0983375472550971,0.03597927789783668,0.033632080481768155
4,5.0,-0.18,-0.12000000000000001,0,0.0935041402884108,-3.4179431810907106,-15.303469778602778,1.3195098945375225,0.03504611798632869,0.03372378132162155
5,5.0,-0.18,-0.1,0,0.09303133945694558,-3.324554757800888,-15.343774557690388,1.5361623383828222,0.03408920388055209,0.03381198445727143
6,5.0,-0.18,-0.08000000000000002,0,0.09254599011337611,-3.2286877310864095,-15.381751944905147,1.7455193491423555,0.033106841610527876,0.033895051712275415
7,5.0,-0.18,-0.06,0,0.09204708952123809,-3.130144038737695,-15.416246609789107,1.9432296246798557,0.03209700100969183,0.03397043950025122
8,5.0,-0.18,-0.04000000000000001,0,0.09153345134873282,-3.0286893544828497,-15.44545097857634,2.1224367234324406,0.031057281094751123,0.0340341686551866
9,5.0,-0.18,-0.020000000000000018,0,0.09100371354758935,-2.92405464423394,-15.466508241015589,2.27224741132883,0.029984926525300628,0.03407995076619591
10,5.0,-0.18,0.0,0,0.09045641385076986,-2.8159510785219757,-15.474849516700734,2.3751762878867635,0.028876981298808488,0.034097729510203754
11,5.0,-0.18,0.01999999999999999,0,0.0898902301781083,-2.7041175178269947,-15.463078687411185,2.4028543379049556,0.02773077688292143,0.034071226588382
12,5.0,-0.18,0.03999999999999998,0,0.08930460373129394,-2.5884435873575247,-15.419104188794895,2.3088633772313853,0.026545196077860742,0.0339738304993464
13,5.0,-0.18,0.06,0,0.08870121460762857,-2.4692611427863023,-15.323100373923634,2.0171484562220057,0.025323664366021806,0.03376190945459573
14,5.0,-0.18,0.08000000000000002,0,0.08808724382847256,-2.347988591649468,-15.142974796986138,1.4049189539150122,0.02408076008884151,0.03336483546634135
15,5.0,-0.18,0.09999999999999998,0,0.0874819326319223,-2.2284264959773386,-14.829076760378408,0.28321870953363226,0.022855502242739842,0.032673335611957156
16,5.0,-0.18,0.12,0,0.08692756020381548,-2.118925912368378,-14.312674693162876,-1.6068883970921108,0.021733583130110222,0.03153612957729867
17,5.0,-0.18,0.14,0,0.08650103696779929,-2.0346783183347825,-13.520620533148561,-4.534895814062895,0.020870837276696468,0.029792180740171002
18,5.0,-0.18,0.15999999999999998,0,0.0863090719876262,-1.9967610693957971,-12.42306562404594,-8.597005198552214,0.020483423358190277,0.02737570337551635
19,5.0,-0.18,0.18,0,0.0864416101312878,-2.022940228649726,-11.105337626230375,-13.45157281688186,0.020753461905358317,0.024474436708748867
20,5.0,-0.18,0.2,0,0.08689618628270639,-2.112728882181864,-9.789740601980421,-18.263668458986484,0.021675772105460796,0.021577791587967105
21,5.0,-0.162,-0.2,0,0.09370278421687311,-3.4571796672400756,-14.818725280275826,0.9759669181142188,0.03544935138749935,0.0326571265980754
22,5.0,-0.162,-0.18000000000000002,0,0.09326092245866797,-3.3699023822510306,-14.86352617976444,1.2030959176010165,0.03455503504387205,0.03275526438305601
23,5.0,-0.162,-0.16,0,0.09280856263176025,-3.2805515009007338,-14.907547511192183,1.4286120060099063,0.03363942371449444,0.03285167464534189
24,5.0,-0.162,-0.14,0,0.09234512600876937,-3.189012711974005,-14.950485984241226,1.6514149882156357,0.03270134440355235,0.032945689286703286
25,5.0,-0.162,-0.12000000000000001,0,0.09186991345452694,-3.0951479211048833,-14.991872943649971,1.8697753728109532,0.0317393805418475,0.03303627614518987
26,5.0,-0.162,-0.1,0,0.09138207939994956,-2.9987901100518095,-15.030984492076879,2.0809879134650853,0.030751819388360826,0.03312184116714428
27,5.0,-0.162,-0.08000000000000002,0,0.09088060411362221,-2.8997378597336536,-15.066698168724498,2.2808184211498905,0.0297365960421746,0.03319991295703964
28,5.0,-0.162,-0.06,0,0.09036427024956374,-2.797750717904551,-15.097260828804867,2.4626072662054,0.028691246207536537,0.033266631899701665
29,5.0,-0.162,-0.04000000000000001,0,0.0898316591688387,-2.69254847259239,-15.119906927968318,2.6157952677072074,0.027612899155782272,0.03331591006310491
30,5.0,-0.162,-0.020000000000000018,0,0.08928120440233897,-2.583821712158257,-15.130222384367686,2.723469489069423,0.02649838665482607,0.03333803119137875
31,5.0,-0.162,0.0,0,0.0887113892155956,-2.471270848633657,-15.121075632250687,2.7582481404343295,0.02534464412925282,0.033317298212832004
32,5.0,-0.162,0.01999999999999999,0,0.08812128550107716,-2.35471256064258,-15.080826436333686,2.6754114906249313,0.024149803694129265,0.033228091279536735
33,5.0,-0.162,0.03999999999999998,0,0.0875118654460122,-2.234338876257676,-14.990402422116855,2.401764548564571,0.022915853107869456,0.03302843377897505
34,5.0,-0.162,0.06,0,0.08688896139248174,-2.1113018095931135,-14.81888846576347,1.8190400023279274,0.021654633722867387,0.03265028472997212
35,5.0,-0.162,0.08000000000000002,0,0.08626935340247356,-1.9889157869938814,-14.518183398265851,0.7443804366190818,0.020400173371411916,0.031987775809337184
