,front_left_tire_unsprung_displacement,front_left_tire_tire_centric_forces_0,front_left_tire_tire_centric_forces_1,front_left_tire_tire_centric_forces_2,front_left_tire_velocity_0,front_left_tire_velocity_1,front_left_tire_velocity_2,front_left_tire_slip_angle,front_left_tire_inclination_angle,front_left_tire_vehicle_centric_forces_0,front_left_tire_vehicle_centric_forces_1,front_left_tire_vehicle_centric_forces_2,front_left_tire_moments_0,front_left_tire_moments_1,front_left_tire_moments_2,front_left_tire_steering_inc,front_left_tire_z_c,front_left_tire_f_roll,front_left_tire_f_heave,front_right_tire_unsprung_displacement,front_right_tire_tire_centric_forces_0,front_right_tire_tire_centric_forces_1,front_right_tire_tire_centric_forces_2,front_right_tire_velocity_0,front_right_tire_velocity_1,front_right_tire_velocity_2,front_right_tire_slip_angle,front_right_tire_inclination_angle,front_right_tire_vehicle_centric_forces_0,front_right_tire_vehicle_centric_forces_1,front_right_tire_vehicle_centric_forces_2,front_right_tire_moments_0,front_right_tire_moments_1,front_right_tire_moments_2,front_right_tire_steering_inc,front_right_tire_z_c,front_right_tire_f_roll,front_right_tire_f_heave,rear_left_tire_unsprung_displacement,rear_left_tire_tire_centric_forces_0,rear_left_tire_tire_centric_forces_1,rear_left_tire_tire_centric_forces_2,rear_left_tire_velocity_0,rear_left_tire_velocity_1,rear_left_tire_velocity_2,rear_left_tire_slip_angle,rear_left_tire_inclination_angle,rear_left_tire_vehicle_centric_forces_0,rear_left_tire_vehicle_centric_forces_1,rear_left_tire_vehicle_centric_forces_2,rear_left_tire_moments_0,rear_left_tire_moments_1,rear_left_tire_moments_2,rear_left_tire_steering_inc,rear_left_tire_z_c,rear_left_tire_f_roll,rear_left_tire_f_heave,rear_right_tire_unsprung_displacement,rear_right_tire_tire_centric_forces_0,rear_right_tire_tire_centric_forces_1,rear_right_tire_tire_centric_forces_2,rear_right_tire_velocity_0,rear_right_tire_velocity_1,rear_right_tire_velocity_2,rear_right_tire_slip_angle,rear_right_tire_inclination_angle,rear_right_tire_vehicle_centric_forces_0,rear_right_tire_vehicle_centric_forces_1,rear_right_tire_vehicle_centric_forces_2,rear_right_tire_moments_0,rear_right_tire_moments_1,rear_right_tire_moments_2,rear_right_tire_steering_inc,rear_right_tire_z_c,rear_right_tire_f_roll,rear_right_tire_f_heave,vehicle_yaw_rate,vehicle_turn_radius,vehicle_accelerations_NTB_0,vehicle_accelerations_NTB_1,vehicle_accelerations_NTB_2,body_slip,steered_angle,x_dot,ride_height,x_double_dot,y_double_dot,yaw_acceleration,roll,pitch
0,-0.007287717001530677,0.0,0.0,0.0,5.0,-1.6245984811645315,3.2124895438511767,-0.6283185307179586,0.07744290306226298,0.0,0.0,0.0,0.0,0.0,0.0,0.00976036865539065,-0.03008851907307758,-221.76230391441143,-528.1437755430952,0.0077103831878599,0.0,-1673.8125650593583,793.3984300307837,5.0,-1.6245984811645315,3.2124895438511767,-0.6283185307179586,0.05411083071672581,-983.8423408437266,-1354.1428105313432,793.3984300307837,503.8080030695477,676.3721616012433,1779.1466324137368,0.05564973429625297,0.03238881881861686,221.76230391441143,571.6361261163723,0.0006153897838442262,0.0,-134.6534601313993,66.44671191058032,5.0,-1.6245984811645315,-2.6284005358782347,-0.3141592653589793,0.025561403434444636,-41.61020753199182,-128.06305069965697,66.44671191058032,-38.871326467689485,-46.34658155762977,-113.66594926922593,0.0,0.002120961725381759,-0.0,66.44671191058033,0.01731560653849624,0.0,-3710.3645027445004,1869.6526159941316,5.0,-1.6245984811645315,-2.6284005358782347,-0.3141592653589793,-0.03557437320187756,-1146.5656866736017,-3528.7663381653842,1869.6526159941316,1093.746780356567,-1304.0826996559065,-1790.5735941662979,0.0,0.05967882419253332,0.0,1869.6526159941316,-3.768316180470588,-1.3951353520804621,-2.0424089439505,-19.811210563753278,0.0,-0.3141592653589793,-0.3141592653589793,5.0,0.017512508570172988,-8.064447078423871,-18.210441829208843,-1.3005707946677636,-0.049155125973457815,-0.01916785171604839
1,-0.007280759472429092,0.0,0.0,0.0,5.0,-1.6245984811645315,3.2228455683842445,-0.5969026041820606,0.0760197901383527,0.0,0.0,0.0,0.0,0.0,0.0,0.008412226773833353,-0.030009048642535244,-222.72601848334915,-526.4641312296045,0.0077825990817371295,0.0,-1691.3691118548654,800.8294455107506,5.0,-1.6245984811645315,3.2228455683842445,-0.5969026041820606,0.053722640782878604,-950.6904635861408,-1398.8985363431777,800.8294455107506,508.5266978993266,682.707102297915,1796.2494466097587,0.05564973429625297,0.03274023832112864,222.72601848334915,578.1034270274015,0.0005447479352178066,0.0,-119.36603089365104,58.819158305142665,5.0,-1.6245984811645315,-2.636873646859836,-0.3141592653589793,0.025813349745839632,-36.88613209722316,-113.52384150569543,58.819158305142665,-34.40920760850846,-41.026362917837005,-100.76126672709809,0.0,0.001877492202357025,-0.0,58.81915830514266,0.01731765678273699,0.0,-3710.710587912773,1869.8739911160264,5.0,-1.6245984811645315,-2.636873646859836,-0.3141592653589793,-0.03558203773618647,-1146.672632872099,-3529.0954847198627,1869.8739911160264,1093.8762848028755,-1304.2371088034283,-1790.740610361926,0.0,0.05968589042872455,0.0,1869.8739911160264,-3.7804640098348905,-1.3906523399017745,-1.8757674121119612,-19.875075482168562,0.0,-0.3141592653589793,-0.2827433388230814,5.0,0.01754444790123095,-7.925696908818114,-18.32267604133714,-1.0247807711682804,-0.04936873987538081,-0.01895273438383549
2,-0.007264431254949753,0.0,0.0,0.0,5.0,-1.6245984811645315,3.232484277662791,-0.5654866776461628,0.07462737768296945,0.0,0.0,0.0,0.0,0.0,0.0,0.007143781725039489,-0.029882479167329265,-223.59940569147585,-523.9105704428538,0.007858070017206443,0.0,-1709.4432631333216,808.5954047705429,5.0,-1.6245984811645315,3.232484277662791,-0.5654866776461628,0.05331156552081034,-915.9655048831653,-1443.3306841247527,808.5954047705429,513.4580820292948,689.3275825668879,1812.0775038171619,0.05564973429625297,0.033113272492957785,223.59940569147585,584.995999079067,0.00047598398931471644,0.0,-104.50110334257354,51.394371246256505,5.0,-1.6245984811645315,-2.6447598635422827,-0.3141592653589793,0.026058535954589443,-32.29261686378784,-99.38645529398782,51.394371246256505,-30.065707179060052,-35.84757394426391,-88.21323343287239,0.0,0.0016404949346487362,-0.0,51.3943712462565,0.017314772946244315,0.0,-3710.2237782178736,1869.56260887073,5.0,-1.6245984811645315,-2.6447598635422827,-0.3141592653589793,-0.03557125694941794,-1146.5222004033487,-3528.632501187333,1869.56260887073,1093.694126189377,-1304.0199196873339,-1790.5056823422053,0.0,0.059675951188613977,0.0,1869.56260887073,-3.7917704136806925,-1.386505655042557,-1.7039996481254125,-19.934516764847775,0.0,-0.3141592653589793,-0.25132741228718347,5.0,0.017588951182163665,-7.780704424104581,-18.432287218723776,-0.7603536129297358,-0.049562332102198785,-0.018712114392401835
3,-0.007238239651446876,0.0,0.0,0.0,5.0,-1.6245984811645315,3.241354025240693,-0.5340707511102648,0.07326438784624567,0.0,0.0,0.0,0.0,0.0,0.0,0.0059563009838976555,-0.029706390917159504,-224.37640355191414,-520.4384565819695,0.007936877921160978,0.0,-1728.0055151097545,816.7047380874645,5.0,-1.6245984811645315,3.241354025240693,-0.5340707511102648,0.05287686491638887,-879.6263738359189,-1487.3669697495639,816.7047380874645,518.60750868554,696.2407892195637,1826.5430890973118,0.05564973429625297,0.03350862891496226,224.37640355191414,592.3283345355505,0.0004092888216351678,0.0,-90.09893146383509,44.19296051605724,5.0,-1.6245984811645315,-2.652016929742384,-0.3141592653589793,0.02629628668437655,-27.842100997348698,-85.68917587991079,44.19296051605724,-25.852881901893483,-30.824589959949922,-76.05582925968676,0.0,0.0014106277811308798,-0.0,44.19296051605724,0.017306688246305622,0.0,-3708.8585672085287,1868.6896633948495,5.0,-1.6245984811645315,-2.652016929742384,-0.3141592653589793,-0.03554103384041757,-1146.1003270005533,-3527.334108360778,1868.6896633948495,1093.183453085987,-1303.4110402179074,-1789.8468492863187,0.0,0.05964808699655014,0.0,1868.6896633948497,-3.8021748096665013,-1.3827115754450197,-1.5270442893233689,-19.989215911573247,0.0,-0.3141592653589793,-0.2199114857512855,5.0,0.0176466501133679,-7.62931284293853,-18.538991411768368,-0.5082110765120862,-0.049734558973207894,-0.01844490109542283
4,-0.007201581682798992,0.0,0.0,0.0,5.0,-1.6245984811645315,3.249390223446056,-0.5026548245743669,0.0719288910990474,0.0,0.0,0.0,0.0,0.0,0.0,0.004850970607231275,-0.029477828241951887,-225.0494613380633,-515.993293821953,0.008019114193521847,0.0,-1747.0071210179005,825.166850513398,5.0,-1.6245984811645315,3.249390223446056,-0.5026548245743669,0.052417682480032445,-841.6270992322336,-1530.9140102321846,825.166850513398,523.9809500760077,703.4547400626719,1839.537401735406,0.05564973429625297,0.03392713099483654,225.0494613380633,600.1173891753347,0.0003449051707360157,0.0,-76.21074279862462,37.241135810221294,5.0,-1.6245984811645315,-2.6585920010013178,-0.3141592653589793,0.026525742270954805,-23.550414678713146,-72.48072355032589,37.241135810221294,-21.786064448979456,-25.97569222762935,-64.33229726339948,0.0,0.0011887273484580997,-0.0,37.241135810221294,0.017293075472259157,0.0,-3706.5583251126072,1867.2198241171825,5.0,-1.6245984811645315,-2.6585920010013178,-0.3141592653589793,-0.035490146145301694,-1145.389513101737,-3525.146448126395,1867.2198241171825,1092.3235971085517,-1302.3858273217345,-1788.7367824036444,0.0,0.05960117010990885,0.0,1867.2198241171823,-3.8116014351273377,-1.3792919355996884,-1.3448469079381091,-20.038774614443806,0.0,-0.3141592653589793,-0.18849555921538758,5.0,0.017718314920449958,-7.471347317526347,-18.642426626251208,-0.2695057943290323,-0.04988374681839888,-0.018149784416740023
5,-0.007153693109307597,0.0,0.0,0.0,5.0,-1.6245984811645315,3.2565092104731526,-0.47123889803846897,0.07061804404584868,0.0,0.0,0.0,0.0,0.0,0.0,0.0038288939362152163,-0.029193052458120736,-225.60883697632613,-510.5061839714256,0.008104883108739731,0.0,-1766.3694487550829,833.9924718893183,5.0,-1.6245984811645315,3.2565092104731526,-0.47123889803846897,0.05193299708059342,-801.9149487649878,-1573.8467029677897,833.9924718893183,529.5852196497171,710.9785822856439,1850.9203067458084,0.05564973429625297,0.034369766811960606,225.60883697632613,608.3836349129922,0.00028315262531406523,0.0,-62.904074853139676,30.573404718286195,5.0,-1.6245984811645315,-2.6644166267507603,-0.3141592653589793,0.02674576989935217,-19.438428145053933,-59.82533029059659,30.573404718286195,-17.885441760197423,-21.324949791004617,-53.09964834254767,0.0,0.0009758951098943064,-0.0,30.57340471828619,0.01727351897522612,0.0,-3703.250351427985,1865.1082113500404,5.0,-1.6245984811645315,-2.6644166267507603,-0.3141592653589793,-0.03541704178032779,-1144.3672930162436,-3522.0003781979026,1865.1082113500404,1091.0883036397736,-1300.912977416653,-1787.1403973785343,0.0,0.05953376798075666,0.0,1865.1082113500406,-3.819952153047686,-1.3762766941980875,-1.1573655112677619,-20.082676936636386,0.0,-0.3141592653589793,-0.15707963267948966,5.0,0.01780491807954299,-7.306608477188929,-18.74211515355324,-0.0457355635570256,-0.05000773624076665,-0.01782513624247792
6,-0.0070935691963942,0.0,0.0,0.0,5.0,-1.6245984811645315,3.2625986157497993,-0.439822971502571,0.06932768310536488,0.0,0.0,0.0,0.0,0.0,0.0,0.0028910903951269162,-0.028847158176364,-226.0414956489147,-503.8867746600485,0.008194306467922132,0.0,-1785.9670554043025,843.1941355491873,5.0,-1.6245984811645315,3.2625986157497993,-0.439822971502571,0.051421551478995985,-760.4277876086027,-1615.9913065428914,843.1941355491873,535.428276073734,718.8230005556823,1860.5042339592778,0.05564973429625297,0.03483776198499008,226.0414956489147,617.1526399002727,0.0002244671076552809,0.0,-50.27120598988282,24.236835949078955,5.0,-1.6245984811645315,-2.669398867431653,-0.3141592653589793,0.026954823189488934,-15.534656978597441,-47.81075803869401,24.236835949078955,-14.178549030211189,-16.90519307448257,-42.43577806446857,0.0,0.000773633486357176,-0.0,24.23683594907896,0.017247471073365328,0.0,-3698.838177551765,1862.2956891466213,5.0,-1.6245984811645315,-2.669398867431653,-0.3141592653589793,-0.03531967611096669,-1143.0038563063545,-3517.804151481896,1862.2956891466213,1089.4429781507733,-1298.9512431797682,-1785.0111397194048,0.0,0.05944399300508493,0.0,1862.2956891466215,-3.8270951504396464,-1.373707972896203,-0.9645805451333365,-20.12022989626378,0.0,-0.3141592653589793,-0.1256637061435917,5.0,0.01790773314208745,-7.134863581616983,-18.837403971308575,0.161076406514231,-0.05010363798411617,-0.01746885892607119
7,-0.007019838661295304,0.0,0.0,0.0,5.0,-1.6245984811645315,3.26750188909316,-0.40840704496667307,0.0680516792759428,0.0,0.0,0.0,0.0,0.0,0.0,0.0020384943886271323,-0.02843346351451667,-226.32934382237372,-496.01205442491306,0.008287530068418862,0.0,-1805.6002100771707,852.7868440403009,5.0,-1.6245984811645315,3.26750188909316,-0.40840704496667307,0.05088174361085957,-717.090314761865,-1657.0979449342915,852.7868440403009,541.519645965591,727.0007845443566,1868.028347930268,0.05564973429625297,0.03533269112142362,226.32934382237372,626.4575002179272,0.0001694646534634606,0.0,-38.44277446245479,18.297945957717157,5.0,-1.6245984811645315,-2.6734106365307664,-0.3141592653589793,0.027150715373488864,-11.879470619821763,-36.56125115698255,18.297945957717157,-10.704298385264536,-12.762817305507715,-32.45096299459105,0.0,0.0005840656657570796,-0.0,18.297945957717157,0.0172141826258729,0.0,-3693.189291853494,1858.7013690286265,5.0,-1.6245984811645315,-2.6734106365307664,-0.3141592653589793,-0.03519525281169688,-1141.2582546263072,-3512.431741928749,1858.7013690286265,1087.3403008817463,-1296.4442048974668,-1782.2850610389123,0.0,0.05932926324374932,0.0,1858.7013690286262,-3.832846790725114,-1.3716465614835431,-0.7665129965690847,-20.15046805870166,0.0,-0.3141592653589793,-0.09424777960769376,5.0,0.018028491661668325,-6.95583425496032,-18.92736841127645,0.34809126539051877,-0.05016744149344961,-0.017078146898023457
8,-0.00693055811735931,0.0,0.0,0.0,5.0,-1.6245984811645315,3.2709928423490644,-0.37699111843077515,0.06678088705366286,0.0,0.0,0.0,0.0,0.0,0.0,0.0012719542995616173,-0.02794251665506896,-226.4463276911756,-486.7081025850974,0.008384732782028219,0.0,-1824.9492237318166,862.7890032707037,5.0,-1.6245984811645315,3.2709928423490644,-0.37699111843077515,0.05031145715672184,-671.8086166585251,-1696.7948761658608,862.7890032707037,547.8710170768968,735.527625288275,1873.1161035095602,0.05564973429625297,0.03585665248920934,226.4463276911756,636.3426755795281,0.0001190469354610694,0.0,-27.610316575986023,12.854092856408968,5.0,-1.6245984811645315,-2.67626687101287,-0.3141592653589793,0.02733024399626785,-8.53205704205199,-26.2589714965636,12.854092856408968,-7.519644320999246,-8.965729767345254,-23.306885988453523,0.0,0.0004102992936600887,-0.0,12.854092856408965,0.017172589698809086,0.0,-3686.1150434171414,1854.210372728911,5.0,-1.6245984811645315,-2.67626687101287,-0.3141592653589793,-0.03503980087776974,-1139.0721916370437,-3505.703731855465,1854.210372728911,1084.713068046413,-1293.3117349784152,-1778.871120861516,0.0,0.059185911812404665,0.0,1854.2103727289111,-3.8369417505560866,-1.3701826775007453,-0.5632573435624479,-20.171996536561867,0.0,-0.3141592653589793,-0.06283185307179584,5.0,0.018169638616849396,-6.769179307216361,-19.010652661413147,0.5111760414566411,-0.050193371765215,-0.01664910203733459
9,-0.00682286780221175,0.0,0.0,0.0,5.0,-1.6245984811645315,3.2727326341857124,-0.34557519189487723,0.06550138486957102,0.0,0.0,0.0,0.0,0.0,0.0,0.0005922315890041219,-0.027360433539149038,-226.3535377402248,-475.7195591073643,0.008486139342889491,0.0,-1843.4965734203838,873.2237383833286,5.0,-1.6245984811645315,3.2727326341857124,-0.34557519189487723,0.049707790661555444,-624.4621952597419,-1734.5104735642506,873.2237383833286,554.4970738734137,744.4232369717878,1875.20367270346,0.05564973429625297,0.036412548956784016,226.3535377402248,646.8702006431041,7.458049113065853e-05,0.0,-18.06456798532781,8.052828529832855,5.0,-1.6245984811645315,-2.6776903370610365,-0.3141592653589793,0.027488553410666375,-5.582258503507898,-17.180425096502827,8.052828529832855,-4.71090468995222,-5.616847899558415,-15.24896772936284,0.0,0.0002570441877669215,-0.0,8.052828529832855,0.017121123553175754,0.0,-3677.336799560907,1848.653315654152,5.0,-1.6245984811645315,-2.6776903370610365,-0.3141592653589793,-0.03484746557067037,-1136.3595651046999,-3497.3551258343655,1848.653315654152,1081.462189657679,-1289.435687668771,-1774.6348546832205,0.0,0.059008531998980845,0.0,1848.6533156541523,-3.8389825620946767,-1.3694542853882545,-0.3550423774675808,-20.18272571775995,0.0,-0.3141592653589793,-0.03141592653589792,5.0,0.018334759420323508,-6.574470606247599,-19.085198682112612,0.6440942821054664,-0.05017280424022293,-0.01617609622923597
